epoch,step,train_loss,val_mean_auc,val_recall_task_0,val_recall_task_1,val_recall_task_10,val_recall_task_11,val_recall_task_2,val_recall_task_3,val_recall_task_4,val_recall_task_5,val_recall_task_6,val_recall_task_7,val_recall_task_8,val_recall_task_9
0,49,0.7017892599105835,,,,,,,,,,,,,
0,87,,0.7887145280838013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,99,0.5836155414581299,,,,,,,,,,,,,
1,149,0.6429836750030518,,,,,,,,,,,,,
1,175,,0.7972724437713623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,199,0.6263808012008667,,,,,,,,,,,,,
2,249,0.6574850678443909,,,,,,,,,,,,,
2,263,,0.7993520498275757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,299,0.6094531416893005,,,,,,,,,,,,,
3,349,0.6690446734428406,,,,,,,,,,,,,
3,351,,0.8040983080863953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,399,0.6358393430709839,,,,,,,,,,,,,
4,439,,0.795174777507782,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,449,0.6663631796836853,,,,,,,,,,,,,
5,499,0.6246394515037537,,,,,,,,,,,,,
5,527,,0.8012650012969971,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,549,0.628397524356842,,,,,,,,,,,,,
6,599,0.6411750316619873,,,,,,,,,,,,,
6,615,,0.7999536395072937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,649,0.6475379467010498,,,,,,,,,,,,,
7,699,0.6680065989494324,,,,,,,,,,,,,
7,703,,0.793215274810791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,749,0.6180635690689087,,,,,,,,,,,,,
8,791,,0.7903066277503967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,799,0.6373011469841003,,,,,,,,,,,,,
9,849,0.6465062499046326,,,,,,,,,,,,,
9,879,,0.789624035358429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,880,,0.789624035358429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,880,,0.789624035358429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
