epoch,step,train_loss,val_mean_auc
0,49,0.011836781166493893,
0,87,,0.7057321667671204
1,99,0.011148621328175068,
1,149,0.011519607156515121,
1,175,,0.7694610953330994
2,199,0.011602863669395447,
2,249,0.009054356254637241,
2,263,,0.7907823324203491
3,299,0.011071273125708103,
3,349,0.010591663420200348,
3,351,,0.810877799987793
4,399,0.011060542427003384,
4,439,,0.7988174557685852
5,449,0.011699396185576916,
5,499,0.010080726817250252,
5,527,,0.8056486248970032
6,549,0.011475943960249424,
6,599,0.010380439460277557,
6,615,,0.8034179210662842
7,649,0.007989004254341125,
7,699,0.009455992840230465,
7,703,,0.7979704737663269
8,749,0.009362985379993916,
8,791,,0.8259930610656738
9,799,0.007951676845550537,
9,849,0.009343782439827919,
9,879,,0.8299779891967773
10,899,0.006529718171805143,
10,949,0.006558464840054512,
10,967,,0.820508599281311
11,999,0.007250500377267599,
11,1049,0.008581212721765041,
11,1055,,0.8149438500404358
12,1099,0.00635260296985507,
12,1143,,0.8338874578475952
13,1149,0.007758386433124542,
13,1199,0.009512819349765778,
13,1231,,0.8292340636253357
14,1249,0.009881824254989624,
14,1299,0.0082949073985219,
14,1319,,0.8205782175064087
15,1349,0.007397639099508524,
15,1399,0.006780054420232773,
15,1407,,0.8289902806282043
16,1449,0.009787858463823795,
16,1495,,0.8370780348777771
17,1499,0.006995408330112696,
17,1549,0.006651528179645538,
17,1583,,0.8182307481765747
18,1599,0.005984324961900711,
18,1649,0.010046645067632198,
18,1671,,0.8333245515823364
19,1699,0.007476260419934988,
19,1749,0.008550065569579601,
19,1759,,0.8093327879905701
20,1760,,0.8093327879905701
