epoch,step,train_loss,val_mean_auc,val_recall_task_0,val_recall_task_1,val_recall_task_10,val_recall_task_11,val_recall_task_2,val_recall_task_3,val_recall_task_4,val_recall_task_5,val_recall_task_6,val_recall_task_7,val_recall_task_8,val_recall_task_9
0,49,0.6899164915084839,,,,,,,,,,,,,
0,87,,0.809864342212677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,99,0.6982013583183289,,,,,,,,,,,,,
1,149,0.6675080060958862,,,,,,,,,,,,,
1,175,,0.8064396977424622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,199,0.6815418004989624,,,,,,,,,,,,,
2,249,0.6588923931121826,,,,,,,,,,,,,
2,263,,0.7992851138114929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,299,0.7027766108512878,,,,,,,,,,,,,
3,349,0.684136152267456,,,,,,,,,,,,,
3,351,,0.8002247214317322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,399,0.6701290607452393,,,,,,,,,,,,,
4,439,,0.8120694756507874,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,449,0.6710615158081055,,,,,,,,,,,,,
5,499,0.68087238073349,,,,,,,,,,,,,
5,527,,0.7921887636184692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,549,0.6732163429260254,,,,,,,,,,,,,
6,599,0.6719262003898621,,,,,,,,,,,,,
6,615,,0.8007304668426514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,649,0.6928619146347046,,,,,,,,,,,,,
7,699,0.7262689471244812,,,,,,,,,,,,,
7,703,,0.800048291683197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,749,0.6450409293174744,,,,,,,,,,,,,
8,791,,0.7946557402610779,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,799,0.6281280517578125,,,,,,,,,,,,,
9,849,0.6426329612731934,,,,,,,,,,,,,
9,879,,0.7964503169059753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,880,,0.7964503169059753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
