epoch,step,train_loss,val_mean_auc
0,49,0.014498037286102772,
0,87,,0.7309471368789673
1,99,0.012834672816097736,
1,149,0.012269727885723114,
1,175,,0.7546098232269287
2,199,0.011904790066182613,
2,249,0.011708230711519718,
2,263,,0.7602717876434326
3,299,0.012685691006481647,
3,349,0.009647640399634838,
3,351,,0.7758904695510864
4,399,0.010154868476092815,
4,439,,0.7962827086448669
5,449,0.006794628221541643,
5,499,0.009333389811217785,
5,527,,0.8136894106864929
6,549,0.007730851415544748,
6,599,0.009337463416159153,
6,615,,0.8105800151824951
7,649,0.007975948043167591,
7,699,0.0072585358284413815,
7,703,,0.8151353001594543
8,749,0.007336575537919998,
8,791,,0.8111299872398376
9,799,0.007027639541774988,
9,849,0.009043619967997074,
9,879,,0.8151379227638245
10,880,,0.8151379227638245
