epoch,step,train_loss,val_mean_auc,val_recall_task_0,val_recall_task_1,val_recall_task_10,val_recall_task_11,val_recall_task_2,val_recall_task_3,val_recall_task_4,val_recall_task_5,val_recall_task_6,val_recall_task_7,val_recall_task_8,val_recall_task_9
0,49,0.8194242715835571,,,,,,,,,,,,,
0,87,,0.8127217888832092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,99,0.8310577869415283,,,,,,,,,,,,,
1,149,0.8721300959587097,,,,,,,,,,,,,
1,175,,0.8136046528816223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,199,0.8085967302322388,,,,,,,,,,,,,
2,249,0.9121388792991638,,,,,,,,,,,,,
2,263,,0.8155869245529175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,299,0.8152560591697693,,,,,,,,,,,,,
3,349,0.7674533724784851,,,,,,,,,,,,,
3,351,,0.8081809282302856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,399,0.8534759283065796,,,,,,,,,,,,,
4,439,,0.819521427154541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,449,0.8343825340270996,,,,,,,,,,,,,
5,499,0.8069950342178345,,,,,,,,,,,,,
5,527,,0.8019808530807495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,549,0.8356563448905945,,,,,,,,,,,,,
6,599,0.8656448125839233,,,,,,,,,,,,,
6,615,,0.8072919845581055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,649,0.9530811309814453,,,,,,,,,,,,,
7,699,0.7756826281547546,,,,,,,,,,,,,
7,703,,0.8122740983963013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,749,0.8085429072380066,,,,,,,,,,,,,
8,791,,0.8021308779716492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,799,0.8790499567985535,,,,,,,,,,,,,
9,849,0.95256507396698,,,,,,,,,,,,,
9,879,,0.8089544177055359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,880,,0.8089544177055359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
