epoch,step,train_loss,val_mean_auc
0,49,0.013704720884561539,
0,87,,0.7897945642471313
1,99,0.011520889587700367,
1,149,0.010141902603209019,
1,175,,0.8027008175849915
2,199,0.010807644575834274,
2,249,0.008217720314860344,
2,263,,0.8107638955116272
3,299,0.009131692349910736,
3,349,0.008036441169679165,
3,351,,0.8082314729690552
4,399,0.01059983391314745,
4,439,,0.8048896193504333
5,449,0.008168797008693218,
5,499,0.009648284874856472,
5,527,,0.8040285706520081
6,549,0.00984490942209959,
6,599,0.008709601126611233,
6,615,,0.8142183423042297
7,649,0.010127021931111813,
7,699,0.008728851564228535,
7,703,,0.8205769658088684
8,749,0.009373788721859455,
8,791,,0.8283970355987549
9,799,0.007985520176589489,
9,849,0.007973918691277504,
9,879,,0.8232583403587341
10,899,0.008701258338987827,
10,949,0.009652568958699703,
10,967,,0.8193012475967407
11,999,0.007911362685263157,
11,1049,0.006986118853092194,
11,1055,,0.8277016878128052
12,1099,0.010397174395620823,
12,1143,,0.8258223533630371
13,1149,0.008257747627794743,
13,1199,0.008085520006716251,
13,1231,,0.8323621153831482
14,1249,0.006281887646764517,
14,1299,0.010133177042007446,
14,1319,,0.8254251480102539
15,1349,0.007384410593658686,
15,1399,0.010340492241084576,
15,1407,,0.8336113691329956
16,1449,0.009924364276230335,
16,1495,,0.8400018811225891
17,1499,0.006144065875560045,
17,1549,0.007319701835513115,
17,1583,,0.830640435218811
18,1599,0.0084153451025486,
18,1649,0.007427989039570093,
18,1671,,0.8333833813667297
19,1699,0.006356531288474798,
19,1749,0.009480169974267483,
19,1759,,0.829788863658905
20,1760,,0.8297893404960632
