epoch,step,train_loss,val_mean_auc
0,49,0.015255468897521496,
1,99,0.014059595763683319,
1,149,0.015911713242530823,
2,199,0.013182368129491806,
2,249,0.012401778250932693,
3,299,0.013350889086723328,
3,349,0.014481141231954098,
4,399,0.016338936984539032,
5,449,0.01484011858701706,
5,499,0.016181953251361847,
6,549,0.015037012286484241,
6,599,0.013279051519930363,
7,649,0.012721461243927479,
7,699,0.012060146778821945,
8,749,0.01575814187526703,
9,799,0.017708981409668922,
9,849,0.014143203385174274,
10,899,0.015814365819096565,
10,949,0.01454275380820036,
11,999,0.014608521945774555,
11,1049,0.01607564091682434,
12,1099,0.01440004538744688,
13,1149,0.014506642706692219,
13,1199,0.017760515213012695,
14,1249,0.015569078736007214,
14,1299,0.014186079613864422,
15,1349,0.014755073934793472,
15,1399,0.016165845096111298,
16,1449,0.016044171527028084,
17,1499,0.015957335010170937,
17,1549,0.015068677254021168,
18,1599,0.01695181243121624,
18,1649,0.012230333872139454,
19,1699,0.01322339940816164,
19,1749,0.015267245471477509,
20,1760,,0.5038921236991882
