epoch,step,train_loss,val_mean_auc,val_recall_task_0,val_recall_task_1,val_recall_task_10,val_recall_task_11,val_recall_task_2,val_recall_task_3,val_recall_task_4,val_recall_task_5,val_recall_task_6,val_recall_task_7,val_recall_task_8,val_recall_task_9
0,49,0.6635700464248657,,,,,,,,,,,,,
0,87,,0.8212971687316895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,99,0.692568302154541,,,,,,,,,,,,,
1,149,0.6928884387016296,,,,,,,,,,,,,
1,175,,0.8249829411506653,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,199,0.6899058818817139,,,,,,,,,,,,,
2,249,0.7107743620872498,,,,,,,,,,,,,
2,263,,0.8272844552993774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,299,0.7299000024795532,,,,,,,,,,,,,
3,349,0.6488255858421326,,,,,,,,,,,,,
3,351,,0.8228568434715271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,399,0.688629150390625,,,,,,,,,,,,,
4,439,,0.8250097632408142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,449,0.7180042266845703,,,,,,,,,,,,,
5,499,0.6506671905517578,,,,,,,,,,,,,
5,527,,0.814863920211792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,549,0.6492254734039307,,,,,,,,,,,,,
6,599,0.6954576969146729,,,,,,,,,,,,,
6,615,,0.8255384564399719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,649,0.6565372943878174,,,,,,,,,,,,,
7,699,0.6683875918388367,,,,,,,,,,,,,
7,703,,0.8187413215637207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,749,0.6916049718856812,,,,,,,,,,,,,
8,791,,0.8069589734077454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,799,0.6679874658584595,,,,,,,,,,,,,
9,849,0.6653633117675781,,,,,,,,,,,,,
9,879,,0.8192771077156067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,899,0.6904628276824951,,,,,,,,,,,,,
10,949,0.6883870959281921,,,,,,,,,,,,,
10,967,,0.816720187664032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,999,0.6584560871124268,,,,,,,,,,,,,
11,1049,0.6741973757743835,,,,,,,,,,,,,
11,1055,,0.8007663488388062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1099,0.7068012952804565,,,,,,,,,,,,,
12,1143,,0.8148755431175232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1149,0.6517220735549927,,,,,,,,,,,,,
13,1199,0.6827771663665771,,,,,,,,,,,,,
13,1231,,0.7986347675323486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1249,0.6685697436332703,,,,,,,,,,,,,
14,1299,0.6527172923088074,,,,,,,,,,,,,
14,1319,,0.7929753065109253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1349,0.6904208064079285,,,,,,,,,,,,,
15,1399,0.6832496523857117,,,,,,,,,,,,,
15,1407,,0.8085023760795593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1449,0.6670233607292175,,,,,,,,,,,,,
16,1495,,0.803597629070282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1499,0.6832913160324097,,,,,,,,,,,,,
17,1549,0.6334403157234192,,,,,,,,,,,,,
17,1583,,0.8119882941246033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1599,0.670433521270752,,,,,,,,,,,,,
18,1649,0.7012805938720703,,,,,,,,,,,,,
18,1671,,0.790513813495636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1699,0.624791145324707,,,,,,,,,,,,,
19,1749,0.6778550148010254,,,,,,,,,,,,,
19,1759,,0.756306529045105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
