epoch,step,train_auc,train_loss,val_mean_auc
0,49,,0.02510209195315838,
0,87,,,0.7312803864479065
0,87,0.5786246061325073,,
1,99,,0.02007605880498886,
1,149,,0.020994151011109352,
1,175,,,0.7317581176757812
1,175,0.6232361197471619,,
2,199,,0.013867796398699284,
2,249,,0.018302975222468376,
2,263,,,0.7572173476219177
2,263,0.6444358825683594,,
3,299,,0.017446482554078102,
3,349,,0.01519855111837387,
3,351,,,0.7684812545776367
3,351,0.6724788546562195,,
4,399,,0.014796506613492966,
4,439,,,0.7746508121490479
4,439,0.6760722994804382,,
5,449,,0.015353881753981113,
