epoch,step,train_loss,val_mean_auc
0,49,0.011247734539210796,
0,87,,0.7884484529495239
1,99,0.010367494076490402,
1,149,0.010588306933641434,
1,175,,0.8140369057655334
2,199,0.010390263982117176,
2,249,0.008850110694766045,
2,263,,0.7948528528213501
3,299,0.009610410779714584,
3,349,0.008797947317361832,
3,351,,0.8183796405792236
4,399,0.009090456180274487,
4,439,,0.8070842027664185
5,449,0.011480811052024364,
5,499,0.009292162023484707,
5,527,,0.8152045011520386
6,549,0.0087250592187047,
6,599,0.009347024373710155,
6,615,,0.8175947070121765
7,649,0.008730544708669186,
7,699,0.010059447027742863,
7,703,,0.8166057467460632
8,749,0.008718788623809814,
8,791,,0.828633189201355
9,799,0.00836378987878561,
9,849,0.008186805061995983,
9,879,,0.8319087624549866
10,899,0.006817652378231287,
10,949,0.008918053470551968,
10,967,,0.8325931429862976
11,999,0.006601080764085054,
11,1049,0.009129166603088379,
11,1055,,0.831332266330719
12,1099,0.006575208157300949,
12,1143,,0.8324666619300842
13,1149,0.008623071014881134,
13,1199,0.007740167435258627,
13,1231,,0.8232225179672241
14,1249,0.006333479192107916,
14,1299,0.010393813252449036,
14,1319,,0.8245581984519958
15,1349,0.005766797345131636,
15,1399,0.008837739937007427,
15,1407,,0.8321274518966675
16,1449,0.008307280950248241,
16,1495,,0.8266782760620117
17,1499,0.006110007409006357,
17,1549,0.005348954815417528,
17,1583,,0.8335493803024292
18,1599,0.005967941600829363,
18,1649,0.005818197038024664,
18,1671,,0.8375771641731262
19,1699,0.00921721663326025,
19,1749,0.006007343530654907,
19,1759,,0.8264438509941101
20,1760,,0.826442539691925
